cancer.lung.sa2,y.lung.male,sd.lung.male,y.lung.female,sd.lung.female,y.lung.persons,sd.lung.persons
11178,0.2469,0.09515101124027388,-0.0232,0.22940902446422634,0.1975,0.08697030821894934
11179,0.1898,0.17345468321894936,0.0916,0.22387540285767676,0.2533,0.12609169742485957
11180,-0.0098,0.4315912857045002,0.2293,0.2995004028576768,0.1354,0.3082295439499621
11181,0.063,0.37244794649209756,0.3109,0.22705554052814386,0.275,0.23446080924263119
11182,0.1984,0.6011979464920976,0.1452,0.6563679208779988,0.2086,0.5496682841547559
11183,0.1711,0.22118905821894935,0.1071,0.24599272877721512,0.2127,0.1815231790209624
11184,-0.2433,0.5742054031972299,-0.1366,0.5052268038646688,-0.2841,0.5505293489040041
11185,0.0125,0.3233741636701367,0.3539,0.1290799248116778,0.2691,0.1582889342426312
11186,-0.081,0.13176934698000586,0.0827,0.04540850760514348,-0.0152,0.054546038670136666
11187,-0.0544,0.1719705730633358,-0.0149,0.13338248296210428,-0.0588,0.1428522958779987
11188,0.2019,-0.001967493016366399,-0.0141,0.10722152446422634,0.1497,-0.001967493016366399
11189,0.0724,0.06106411510430285,0.0546,0.06106411510430285,0.1304,0.008961478777215134
11190,0.0043,0.13782893071535354,-0.117,0.19795474410295383,-0.0711,0.14753402446422634
11191,0.0496,0.4903522958779987,0.0187,0.5096433994642263,0.0454,0.4531428826051435
11192,0.1925,0.10577601124027389,0.0371,0.17450161510430287,0.1974,0.08148649009181208
11193,0.0691,0.23840108370685764,0.0072,0.2572272958779987,0.0625,0.21098599010430288
11194,-0.071,0.22659652446422635,-0.0642,0.20730542087799866,-0.0603,0.19783560796210428
11195,0.4046,0.30933567902096243,0.1419,0.4914402744642263,0.3578,0.2940165607487934
11196,0.1995,0.1488228862402739,0.0387,0.2265803826051435,0.2009,0.13254625584742855
11197,0.3204,-0.09275727122278486,-0.1714,0.19920867392845273,0.1194,-0.013239541293142343
11198,0.1765,0.12568022877721513,0.043,0.1868147576051435,0.1766,0.10087655821894935
11199,-0.157,0.08607622390400409,0.3439,-0.19490469178105063,0.1099,-0.10896649239485652
11200,0.034,0.13907893071535354,0.2587,-0.0017506191525714265,0.2505,-0.009763509908187917
11201,0.0644,0.18691670870685764,0.0034,0.22503402446422635,0.0585,0.15950161510430286
11202,-0.0714,0.1501260619519528,0.0267,0.10158560796210427,-0.0396,0.10158560796210427
11203,-0.0209,0.06769027446422633,0.2889,-0.106640625,0.1525,-0.06656773875972612
11204,0.1409,0.03580435796210427,-0.0374,0.11498599410295382,0.0407,0.05486018071535353
11205,0.0046,0.07168911510430286,-0.0484,0.09910420870685764,-0.0277,0.07168911510430286
11206,0.3395,-0.22707706912016784,-0.2828,0.12708006313436299,0.1108,-0.1258785908452441
11207,0.1231,-0.016311694284646457,-0.6002,0.42572561679609083,-0.2054,0.13193559890400408
11208,-0.3352,0.015998098904004093,0.0732,-0.21456209714232322,-0.1291,-0.12254410053577366
11209,-0.0077,0.0063429136701366635,-0.072,0.04400080571535354,-0.0564,0.015588583706857648
11210,0.2726,-0.13636692511445198,-0.0033,0.020407055715353555,0.2355,-0.14421874999999998
11211,0.2313,-0.16385775989569712,-0.3729,0.16649915480745417,-0.0534,-0.03741789626256122
11212,0.2213,-0.2818197712227849,0.4375,-0.38403820947185613,0.311,-0.3766329407573688
11213,-0.2167,0.21442475108658754,-0.3646,0.31070025141779695,-0.3439,0.26108040319722986
11214,0.4444,-0.2103345800050031,-0.3786,0.2654967194867186,0.0844,-0.03428853166309273
11215,0.0674,0.15938978867013667,-0.0151,0.19704768071535356,0.0244,0.1502522576051435
11216,-0.0678,0.1483625523219032,-0.1341,0.2045918489040041,-0.1129,0.13758651940601582
11217,0.0435,0.11551045870685765,0.2316,0.003093130847428574,0.189,0.011189058218949348
11218,0.0496,0.12338579394996212,0.2032,0.04019557488554801,0.1204,0.06423593321894934
11219,-0.3182,0.25912727819722986,0.1662,-0.02072602122278486,-0.126,0.10673619806333581
11220,0.1218,-0.0980289923948565,0.4015,-0.2389521892512066,0.3181,-0.24650055715100105
11221,-0.0948,0.2571381607045002,0.1597,0.10787625698363361,0.0406,0.16970228867013668
11222,-0.6367,0.2982642753406012,0.0497,-0.0799039923948565,-0.3663,0.1268870655950514
11223,-0.1153,0.18725161910295385,0.159,0.03618021833690726,0.0331,0.08033038260514348
11224,-0.0507,0.030971524464226338,0.0606,-0.03456088489569714,-0.0031,-0.025528992394856512
